"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.584322917E-1,1.153075166E0,1.680531440E0,-3.261676294E0,3.846075988E0
9.684362917E-1,1.214887544E0,1.896052938E0,-3.243275106E0,3.948392319E0
9.784402917E-1,1.241821428E0,1.957131053E0,-3.145165844E0,3.906987407E0
9.884442917E-1,1.202976474E0,1.879175097E0,-2.909168712E0,3.666294319E0
9.984482917E-1,1.168615603E0,1.914196849E0,-2.910214779E0,3.674120583E0
1.008452292E0,9.347180602E-1,1.109175148E0,-1.455055642E0,2.054544787E0
1.018456292E0,8.295684582E-1,5.516751489E-1,-3.932772928E-1,1.071072512E0
1.028460292E0,8.539089552E-1,4.838804841E-2,6.450040197E-1,1.071229244E0
1.038464292E0,9.570156862E-1,-5.405052128E-1,1.689774572E0,2.015778513E0
1.048468292E0,1.014290625E0,-1.293136592E0,2.621336598E0,3.093928454E0
1.058472292E0,1.023871873E0,-2.192951453E0,3.070131449E0,3.909355036E0
1.068476292E0,1.009892934E0,-2.902497039E0,2.991108668E0,4.288485032E0
1.078480292E0,1.070909361E0,-3.309097797E0,2.566957492E0,4.322759056E0
1.088484292E0,1.117425277E0,-3.422605117E0,2.007824512E0,4.122405161E0
1.098488292E0,1.163523556E0,-3.155404903E0,1.404132825E0,3.644441817E0
1.108492292E0,1.170635085E0,-2.700935914E0,8.723648143E-1,3.070254335E0
1.118496292E0,1.044353646E0,-2.150595977E0,5.030038029E-1,2.443102621E0
1.128500292E0,7.917232320E-1,-1.654724461E0,1.406717294E-1,1.839762826E0
1.138504292E0,5.441442275E-1,-1.253032440E0,-2.436967456E-1,1.387649574E0
1.148508292E0,2.602461201E-1,-8.679245849E-1,-6.778168398E-1,1.131572709E0
1.158512292E0,6.401356280E-2,-4.747847016E-1,-1.158498897E0,1.253649849E0
1.168517292E0,-3.573438138E-2,-1.153227340E-1,-1.608952603E0,1.613475986E0
1.178521292E0,-7.007303238E-2,2.157289284E-1,-1.902398044E0,1.915872522E0
1.188525292E0,-9.946318477E-2,4.423383558E-1,-2.098466295E0,2.146885404E0
1.198529292E0,-1.630803064E-1,5.682882580E-1,-2.172504909E0,2.251516003E0
1.208533292E0,-1.669967714E-1,6.488555807E-1,-2.090621670E0,2.195358844E0
1.218537292E0,-2.369698164E-1,6.266262209E-1,-1.982452859E0,2.092590369E0
1.228541292E0,-2.744925687E-1,2.773692526E-1,-2.066970268E0,2.103484243E0
1.238545292E0,-1.716119787E-1,9.027735516E-2,-1.914466113E0,1.924261201E0
1.248549292E0,-1.252192926E-1,-9.044326991E-3,-1.810023147E0,1.814371920E0
1.258553292E0,-1.163142756E-1,-1.025135310E-1,-1.709877884E0,1.716892662E0
1.268557292E0,-1.158397740E-1,-1.361016919E-1,-1.788546908E0,1.797454469E0
1.278561292E0,-7.331063569E-2,-9.587080166E-2,-1.893202713E0,1.897045643E0
1.288565292E0,-3.135861754E-2,4.775026336E-2,-1.780943774E0,1.781859752E0
1.298569292E0,-2.908024997E-2,5.650456846E-3,-1.770640980E0,1.770888779E0
1.308573292E0,-1.314801988E-1,-1.005092517E-1,-2.096480581E0,2.103002610E0
1.318577292E0,-1.425317287E-1,4.031947553E-2,-2.100926219E0,2.106141479E0
1.328581292E0,-1.085553128E-1,-1.315360397E-2,-2.101514449E0,2.104357444E0
1.338585292E0,-2.291456571E-1,2.974732956E-1,-1.947138600E0,1.983014579E0
1.348589292E0,-3.137010732E-1,4.204706463E-1,-1.818691644E0,1.892839989E0
1.358593292E0,-3.010716721E-1,5.744436219E-1,-1.692583575E0,1.812586214E0
1.368597292E0,-2.674513516E-1,6.510339609E-1,-1.547562101E0,1.700095263E0
1.378601292E0,-2.208376408E-1,7.033802819E-1,-1.420375221E0,1.600305862E0
1.388605292E0,-1.438341960E-1,7.605195656E-1,-1.345492269E0,1.552233143E0
1.398609292E0,-4.283260882E-2,9.052413690E-1,-1.208855118E0,1.510836611E0
1.408613292E0,4.484200448E-2,1.073922723E0,-1.057507542E0,1.507860412E0
1.418617292E0,5.810582846E-2,1.244408821E0,-8.911413932E-1,1.531686189E0
1.428621292E0,1.621353963E-1,1.409634763E0,-5.676652372E-1,1.528267605E0
1.438625292E0,2.698042712E-1,1.578297991E0,-2.431102699E-1,1.619543607E0
1.448629292E0,3.537755504E-1,1.710978623E0,1.260449195E-1,1.751711252E0
1.458633292E0,4.629834124E-1,1.923022636E0,7.123674524E-1,2.102340859E0
1.468637292E0,4.651208621E-1,2.134146590E0,1.562723347E0,2.685707233E0
1.478641292E0,3.291380149E-1,2.378214341E0,2.346768308E0,3.357313923E0
1.488645292E0,2.270289651E-1,2.674915512E0,2.835804867E0,3.904933340E0
1.498649292E0,2.064973444E-1,2.969896432E0,3.035414776E0,4.251666594E0
1.508654292E0,1.016667080E-1,3.129271942E0,3.106570712E0,4.410607736E0
1.518658292E0,-1.515010652E-1,2.955251788E0,3.220425357E0,4.373511767E0
1.528662292E0,-5.069962817E-1,2.432823535E0,3.427837790E0,4.233880902E0
1.538666292E0,-8.529371479E-1,1.641348078E0,3.679844014E0,4.118589232E0
1.548670292E0,-1.020524488E0,8.955949250E-1,4.002672883E0,4.226695010E0
1.558674292E0,-1.122932038E0,2.282026474E-1,4.284903365E0,4.435476260E0
1.568678292E0,-1.162995698E0,-4.030158305E-1,4.470997435E0,4.637326689E0
1.578682292E0,-1.057663078E0,-8.955931708E-1,4.542748618E0,4.749452950E0
1.588686292E0,-1.008539743E0,-9.579296060E-1,4.358018119E0,4.574615117E0
1.598690292E0,-9.314222771E-1,-9.496774305E-1,4.333482617E0,4.533046026E0
1.608694292E0,-5.994454390E-1,-1.550793273E0,3.881503957E0,4.222601991E0
1.618698292E0,-2.124328530E-1,-1.824822888E0,3.088930247E0,3.593966661E0
